,fieldID,mjdExpStart,mjd,mjdNightStart,mjdNightEnd,mjdExptime,scheduled,racen,deccen,alt,az,airmass,moonRA,moonDec,moonAlt,moonAz,moonSep,moonPhase
0,57,59418.115885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,54.95759166429191,125.62880904702904,1.2214079413597594,289.3877771541074,-26.179786003291344,12.513713489259723,132.82087749900126,42.81699719497724,0.9857576911084804
1,57,59418.128385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,57.922604610757375,131.64502879942978,1.1801756380029311,289.5436997349896,-26.190811846631288,15.126547243124612,135.8173793683631,42.91052838027554,0.9860901254134088
2,57,59418.140885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,60.60153263271858,138.61276438560853,1.147806560524772,289.69549884083875,-26.200159582929803,17.60153904415474,138.97763844984908,43.00079689176762,0.9864182643453984
3,57,59418.153385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,62.906623097218535,146.67373879169207,1.123260474489809,289.84345120087795,-26.207706555713717,19.922998365401615,142.31001649207963,43.08783835922472,0.9867421066244296
4,57,59418.165885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,64.73306539110315,155.89108147185036,1.1057922170098522,289.9878579606298,-26.213338974133425,22.074150222533525,145.8205030598063,43.171712657742326,0.9870616510384418
5,57,59418.178385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,65.96973314305576,166.16190885532438,1.0948939446913837,290.12904291859576,-26.216952801045647,24.037361350296564,149.51180939025917,43.2525036164503,0.9873768964300308
6,57,59418.190885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,66.52212432342115,177.1452143507013,1.0902581316086857,290.26735057432165,-26.21845457923701,25.79449351973432,153.38237965407205,43.33031856406781,0.9876878417053758
7,57,59418.203385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,66.3417849252808,188.287028087938,1.0917561140821113,290.4031439815023,-26.217762185830694,27.32739928022599,157.42541324716294,43.40528770239141,0.9879944858300702
8,57,59418.215885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,65.44500095530023,198.9800084116324,1.099429330378048,290.53680243594766,-26.2148055041675,28.618560524394315,161.62803724956154,43.47756331799266,0.9882968278372496
9,57,59418.228385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,63.90624217244353,208.7622302931561,1.1134921281396364,290.66871899811724,-26.209527004923924,29.651847278916325,165.9708031508356,43.54731882663795,0.988594866814969
10,57,59418.240885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,61.83171024581218,217.4141138019081,1.1343464983071714,290.7992978966605,-26.201882226642105,30.413345476717534,170.42768807191746,43.614747669326405,0.9888886019146416
11,57,59418.253385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,59.33153956336667,224.9255981035685,1.1626106559604945,290.92895181586744,-26.191840150108884,30.89217396094629,174.96674001015631,43.68006205652917,0.9891780323467324
12,57,59418.265885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,56.50285740008424,231.40789084450017,1.199165361671686,291.058099109573,-26.179383459938872,31.081191565738,179.55141194953586,43.74349157862045,0.9894631573891716
13,57,59418.278385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,53.42407107571155,237.01722616175388,1.2452247342898692,291.18716094453686,-26.16450869072627,30.977494133794725,184.1424954479839,43.805281680035286,0.989743976374515
14,57,59418.290885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,50.155668699109945,241.9106380893809,1.3024428221135458,291.3165584313246,-26.14722625392533,30.582623800532826,188.7004264426007,43.86569202431818,0.99002048869868
15,57,59418.303385,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,46.74343451463797,246.22701870039128,1.3730747852747405,291.4467097472617,-26.127560346213823,29.90245617749887,193.1876426269377,43.924994750231576,0.9902926938164096
16,57,59418.315885,59418.0,59418.115885,59418.4812,0.0125,False,264.7774227678927,9.33610930061785,43.22192524591478,250.0822249820643,1.4602249147721105,291.57802729714376,-26.10554873937828,28.946784142009093,197.5706583306098,43.98347264127522,0.990560591249364
17,66,59418.115885,59418.0,59418.115885,59418.4812,0.012500000000000002,False,275.22622320424625,20.184886445673342,53.43132624697648,100.30294625234512,1.2451077555441372,289.3877771541074,-26.179786003291344,12.513713489259723,132.82087749900126,48.358666255462346,0.9857576911084805
18,66,59418.128385,59418.0,59418.115885,59418.4812,0.012500000000000002,False,275.22622320424625,20.184886445673342,57.14077501094466,103.89499884023958,1.1904673945749502,289.5436997349896,-26.190811846631288,15.126547243124612,135.8173793683631,48.41234596198641,0.9860901254134088
19,66,59418.140885,59418.0,59418.115885,59418.4812,0.012500000000000002,False,275.22622320424625,20.184886445673342,60.78807666144237,108.07583649316366,1.145710900472932,289.69549884083875,-26.200159582929803,17.60153904415474,138.97763844984908,48.46368500991327,0.9864182643453984
20,66,59418.153385,59418.0,59418.115885,59418.4812,0.012500000000000002,False,275.22622320424625,20.184886445673342,64.34044301657005,113.08982758783036,1.1094064451586223,289.84345120087795,-26.207706555713717,19.922998365401615,142.31001649207963,48.512616403610274,0.9867421066244296
